Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Arielle,Kayabaga,London West,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Mike,Kelloway,Cape Breton—Canso,Nova Scotia,Liberal,2021-09-20 12:00:00 a.m.,
,Pat,Kelly,Calgary Rocky Ridge,Alberta,Conservative,2021-09-20 12:00:00 a.m.,
,Iqra,Khalid,Mississauga—Erin Mills,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Arpan,Khanna,Oxford,Ontario,Conservative,2023-06-19 12:00:00 a.m.,
Hon.,Kamal,Khera,Brampton West,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Robert,Kitchen,Souris—Moose Mountain,Saskatchewan,Conservative,2021-09-20 12:00:00 a.m.,
,Tom,Kmiec,Calgary Shepard,Alberta,Conservative,2021-09-20 12:00:00 a.m.,
,Annie,Koutrakis,Vimy,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
,Michael,Kram,Regina—Wascana,Saskatchewan,Conservative,2021-09-20 12:00:00 a.m.,
,Shelby,Kramp-Neuman,Hastings—Lennox and Addington,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
,Damien C.,Kurek,Battle River—Crowfoot,Alberta,Conservative,2021-09-20 12:00:00 a.m.,
,Stephanie,Kusie,Calgary Midnapore,Alberta,Conservative,2021-09-20 12:00:00 a.m.,
,Irek,Kusmierczyk,Windsor—Tecumseh,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Jenny,Kwan,Vancouver East,British Columbia,NDP,2021-09-20 12:00:00 a.m.,
Hon.,Mike,Lake,Edmonton—Wetaskiwin,Alberta,Conservative,2021-09-20 12:00:00 a.m.,
,Marie-France,Lalonde,Orléans,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Emmanuella,Lambropoulos,Saint-Laurent,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
,Kevin,Lamoureux,Winnipeg North,Manitoba,Liberal,2021-09-20 12:00:00 a.m.,
,Melissa,Lantsman,Thornhill,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
,Viviane,Lapointe,Sudbury,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Andréanne,Larouche,Shefford,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
,Patricia,Lattanzio,Saint-Léonard—Saint-Michel,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
,Stéphane,Lauzon,Argenteuil—La Petite-Nation,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
,Philip,Lawrence,Northumberland—Peterborough South,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
Hon.,Dominic,LeBlanc,Beauséjour,New Brunswick,Liberal,2021-09-20 12:00:00 a.m.,
Hon.,Diane,Lebouthillier,Gaspésie—Les Îles-de-la-Madeleine,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
,Richard,Lehoux,Beauce,Quebec,Conservative,2021-09-20 12:00:00 a.m.,
,Sébastien,Lemire,Abitibi—Témiscamingue,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
,Branden,Leslie,Portage—Lisgar,Manitoba,Conservative,2023-06-19 12:00:00 a.m.,
,Chris,Lewis,Essex,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
